SalesID,OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,DiscountPercent,SalesAmount,ProfitAmount,Region
1,62198,486,9,5/12/2023,4,827.93,0.14,2848.08,436.59,West
2,74357,496,23,6/13/2023,6,623.22,0.09,3402.78,1049.71,North
3,46739,496,1,7/10/2025,10,604.85,0.23,4657.34,921.06,North
4,36188,419,2,3/23/2025,7,165.54,0.11,1031.31,391.51,West
5,13527,304,13,1/14/2026,9,1562.75,0.05,13361.51,4413.11,East
6,48185,488,2,12/2/2023,8,165.54,0.28,953.51,155.32,West
7,63627,426,27,9/15/2023,2,654.92,0.25,982.38,332.73,West
8,43119,345,24,12/12/2024,8,1686.39,0.04,12951.48,2471.79,West
9,19694,338,8,5/23/2023,3,908.71,0.21,2153.64,725.18,North
10,76402,230,18,1/12/2025,10,351.07,0.14,3019.2,664.95,East
11,57124,473,14,12/6/2023,7,1812.31,0.16,10656.38,3593.51,West
12,24335,360,10,6/5/2023,9,720.75,0.18,5319.14,1991.06,South
13,94803,394,15,2/19/2025,4,1051.79,0.2,3365.73,695.03,South
14,94769,314,9,1/13/2024,1,827.93,0.17,687.18,201.69,East
15,11382,205,5,8/5/2025,6,230.97,0.29,983.93,225.45,East
16,83137,51,5,12/12/2024,5,230.97,0.07,1074.01,348.04,West
17,70694,298,16,9/30/2024,10,355.61,0.07,3307.17,701.9,East
18,13219,396,23,2/25/2024,10,623.22,0.21,4923.44,715,North
19,21253,248,18,7/6/2025,2,351.07,0.09,638.95,240.35,West
20,37114,60,15,5/15/2023,3,1051.79,0.1,2839.83,576.26,North
21,69303,267,22,10/30/2024,8,407.19,0.1,2931.77,379.04,East
22,25084,164,27,4/18/2024,2,654.92,0.09,1191.95,408.91,East
23,31542,12,2,9/28/2024,6,165.54,0.19,804.52,243.88,West
24,53383,477,24,5/10/2025,4,1686.39,0.15,5733.73,1522.72,West
25,63090,287,12,3/2/2024,7,44.43,0.29,220.82,37.44,North
26,61849,323,15,4/9/2024,3,1051.79,0.06,2966.05,881.49,North
27,66302,15,10,12/2/2025,10,720.75,0.26,5333.55,1252.7,West
28,18200,200,7,5/20/2025,1,282.36,0.21,223.06,36.08,South
29,57945,296,8,7/18/2024,2,908.71,0.24,1381.24,360.6,North
30,74157,167,4,3/27/2026,4,1484.52,0.14,5106.75,912.61,South
31,86939,271,23,11/9/2024,6,623.22,0.18,3066.24,868.95,North
32,32613,59,11,11/19/2025,6,1204.13,0.11,6430.05,1526.23,East
33,98094,417,22,7/7/2024,5,407.19,0.28,1465.88,406.12,East
34,33992,69,13,9/10/2024,6,1562.75,0.04,9001.44,1724.8,West
35,28070,192,27,4/13/2026,3,654.92,0.15,1670.05,376.55,West
36,80435,295,8,6/10/2023,7,908.71,0.13,5534.04,1361.38,East
37,28388,356,21,3/23/2024,3,1257.57,0.17,3131.35,773.11,South
38,57059,96,13,12/6/2024,6,1562.75,0.25,7032.38,2010.01,North
39,60324,488,24,7/5/2023,1,1686.39,0.15,1433.43,227.25,West
40,99744,494,16,3/30/2024,9,355.61,0.15,2720.42,676,North
41,31922,252,19,6/29/2023,7,613.51,0.21,3392.71,791.03,East
42,48284,43,13,7/3/2024,10,1562.75,0.01,15471.22,5079.47,North
43,69942,17,12,8/27/2024,5,44.43,0.07,206.6,38.55,West
44,24969,290,1,4/8/2024,8,604.85,0.16,4064.59,544.51,South
45,15453,138,7,3/8/2025,9,282.36,0.25,1905.93,400.36,North
46,23423,390,13,9/27/2025,8,1562.75,0.16,10501.68,4168.46,East
47,68947,377,17,3/1/2024,4,551.45,0.09,2007.28,802.5,East
48,25386,135,19,2/13/2024,6,613.51,0.26,2723.98,343.48,East
49,55957,398,11,5/21/2024,4,1204.13,0.06,4527.53,1454.62,West
50,28249,441,25,4/23/2026,10,891.64,0.19,7222.28,1081.86,West
51,84720,402,8,2/1/2025,4,908.71,0.24,2762.48,943.75,West
